fda drug,chemical name,indications,url
fibricor,Fenofibrate,"Hypertriglyceridemia,Hypercholesterolemia or mixed hyperlipidemia,Hypercholesterolemia or mixed dyslipidemia",https://www.uptodate.com/contents/fenofibrate-drug-information?search=fibricor&source=search_result&selectedTitle=1%7E42&usage_type=default&display_rank=1
fioricet with codeine,"Butalbital, acetaminophen",Tension or muscle contraction headache,https://www.uptodate.com/contents/butalbital-acetaminophen-paracetamol-caffeine-and-codeine-drug-information?search=fioricet+with+codeine&source=search_result&selectedTitle=1%7E3&usage_type=default&display_rank=1
fiorinal,Butalbital compound,Tension or muscle contraction headache,https://www.uptodate.com/contents/butalbital-compound-drug-information?search=fiorinal&source=search_result&selectedTitle=1%7E7&usage_type=default&display_rank=1
fiorinal with codeine,Butalbital compound and codeine,Tension or muscle contraction headache,https://www.uptodate.com/contents/butalbital-compound-and-codeine-drug-information?search=fiorinal+with+codeine&source=search_result&selectedTitle=1%7E2&usage_type=default&display_rank=1
florone,Diflorasone,"Corticosteroid-responsive dermatosis,Dermatoses",https://www.uptodate.com/contents/diflorasone-drug-information?search=florone&source=search_result&selectedTitle=1%7E1&usage_type=default&display_rank=1
flumadine,Rimantadine,"Influenza A virus, prophylaxis,Influenza A virus, treatment",https://www.uptodate.com/contents/rimantadine-drug-information?search=flumadine&source=search_result&selectedTitle=1%7E19&usage_type=default&display_rank=1
fluoxetine,Fluoxetine,"Body dysmorphic disorder,Borderline personality disorder,Bulimia nervosa,Depression,Depression associated with bipolar I disorder,Fibromyalgia,Obsessive-compulsive disorder,Panic disorder,Post-traumatic stress disorder,Premenstrual dysphoric disorder,Raynaud phenomena,Social anxiety disorder,Treatment-resistant depression,Discontinuation of therapy,MAO inhibitor recommendations",https://www.uptodate.com/contents/fluoxetine-drug-information?search=fluoxetine&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
fml,Fluorometholone,Ocular inflammation,https://www.uptodate.com/contents/fluorometholone-drug-information?search=fml&source=search_result&selectedTitle=1%7E8&usage_type=default&display_rank=1
focalin xr,Dexmethylphenidate,"ADHD,Conversion to dexmethylphenidate from methylphenidate,Conversion from dexmethylphenidate immediate release to dexmethylphenidate extended release,Dose reductions and discontinuation,Attention-deficit/hyperactivity disorder",https://www.uptodate.com/contents/dexmethylphenidate-drug-information?search=focalin+xr&source=search_result&selectedTitle=1%7E11&usage_type=default&display_rank=1
furadantin,Nitrofurantoin,"Cystitis, acute uncomplicated, treatment,UTI, prophylaxis,Cystitis, acute uncomplicated",https://www.uptodate.com/contents/nitrofurantoin-drug-information?search=furadantin&source=search_result&selectedTitle=1%7E67&usage_type=default&display_rank=1
gabitril,Tiagabine,"Partial seizures,Dosage adjustment",https://www.uptodate.com/contents/tiagabine-drug-information?search=gabitril&source=search_result&selectedTitle=1%7E27&usage_type=default&display_rank=1
gastrocrom,Cromolyn,"Food allergy,Systemic mastocytosis",https://www.uptodate.com/contents/cromolyn-sodium-cromoglicate-systemic-drug-information?search=gastrocrom&source=search_result&selectedTitle=1%7E60&usage_type=default&display_rank=1
generess fe,Ethinyl estradiol and norethindrone,"Acne,Contraception,Postmenopausal indications,Osteoporosis prevention,Vasomotor symptoms associated with menopause,Acne vulgaris",https://www.uptodate.com/contents/ethinyl-estradiol-and-norethindrone-drug-information?search=generess+fe&source=search_result&selectedTitle=1%7E19&usage_type=default&display_rank=1
geodon,Ziprasidone,"Bipolar disorder,Schizophrenia,Acute agitation,Delusional infestation,Major depressive disorder,Discontinuation of therapy",https://www.uptodate.com/contents/ziprasidone-drug-information?search=geodon&source=search_result&selectedTitle=1%7E59&usage_type=default&display_rank=1
glucotrol xl,Glipizide,"Diabetes mellitus, type 2,When transferring from immediate release to extended release glipizide,When transferring from insulin to glipizide immediate release,Conversion from therapy with long half-life agents",https://www.uptodate.com/contents/glipizide-drug-information?search=glucotrol+xl&source=search_result&selectedTitle=1%7E33&usage_type=default&display_rank=1
golytely,Polyethylene glycol electrolyte solution,"Bowel cleansing,Whole bowel irrigation",https://www.uptodate.com/contents/polyethylene-glycol-electrolyte-solution-drug-information?search=golytely&source=search_result&selectedTitle=1%7E38&usage_type=default&display_rank=1
gris-peg,Griseofulvin,",Ultramicrosize,Dermatophyte infections",https://www.uptodate.com/contents/griseofulvin-drug-information?search=gris-peg&source=search_result&selectedTitle=1%7E29&usage_type=default&display_rank=1
halcion,Triazolam,"Insomnia,Dental preprocedure oral sedation",https://www.uptodate.com/contents/triazolam-drug-information?search=halcion&source=search_result&selectedTitle=1%7E60&usage_type=default&display_rank=1
haldol,Haloperidol,"Psychosis,Schizophrenia,Tourette syndrome,Chemotherapy-induced nausea and vomiting,Chorea of Huntington disease,Delirium in the intensive care unit, treatment,Nausea and vomiting in advanced or terminal illness,Obsessive-compulsive disorder,Postoperative nausea and vomiting,Rapid tranquilization,Discontinuation of therapy,Behavioral disorders,Hyperactivity,Psychotic disorders,Tourette disorder",https://www.uptodate.com/contents/haloperidol-drug-information?search=haldol&source=search_result&selectedTitle=1%7E145&usage_type=default&display_rank=1
haldol decanoate,Haloperidol,"Psychosis,Schizophrenia,Tourette syndrome,Chemotherapy-induced nausea and vomiting,Chorea of Huntington disease,Delirium in the intensive care unit, treatment,Nausea and vomiting in advanced or terminal illness,Obsessive-compulsive disorder,Postoperative nausea and vomiting,Rapid tranquilization,Discontinuation of therapy,Behavioral disorders,Hyperactivity,Psychotic disorders,Tourette disorder",https://www.uptodate.com/contents/haloperidol-drug-information?search=haldol+decanoate&source=search_result&selectedTitle=1%7E145&usage_type=default&display_rank=1
hectorol,Doxercalciferol,"IV,Secondary hyperparathyroidism",https://www.uptodate.com/contents/doxercalciferol-drug-information?search=hectorol&source=search_result&selectedTitle=1%7E6&usage_type=default&display_rank=1
hiprex,Methenamine,"Urinary tract infection, prophylaxis/suppression",https://www.uptodate.com/contents/methenamine-drug-information?search=hiprex&source=search_result&selectedTitle=1%7E49&usage_type=default&display_rank=1
imitrex,Sumatriptan,"Migraine,Cluster headache",https://www.uptodate.com/contents/sumatriptan-drug-information?search=imitrex&source=search_result&selectedTitle=1%7E39&usage_type=default&display_rank=1
inderal la,Propranolol,"Atrial fibrillation,Essential tremor,Hypertension,Migraine headache prophylaxis,Obstructive hypertrophic cardiomyopathy,Pheochromocytoma,Post-MI mortality reduction,Stable angina,Supraventricular tachycardias,Akathisia, antipsychotic-induced,Performance anxiety,Thyroid storm,Thyrotoxicosis,Tremor, lithium-induced,Variceal hemorrhage prophylaxis,Ventricular arrhythmias due to congenital long QT syndrome,Ventricular premature beat,Ventricular tachycardia",https://www.uptodate.com/contents/propranolol-drug-information?search=inderal+la&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
inspra,Eplerenone,"Hypertension,Heart failure,Primary aldosteronism, treatment,Heart failure post-MI",https://www.uptodate.com/contents/eplerenone-drug-information?search=inspra&source=search_result&selectedTitle=1%7E85&usage_type=default&display_rank=1
invega,Paliperidone,"Schizoaffective disorder,Schizophrenia,Delusional infestation,Discontinuation of therapy",https://www.uptodate.com/contents/paliperidone-drug-information?search=invega&source=search_result&selectedTitle=1%7E38&usage_type=default&display_rank=1
iopidine,Apraclonidine,Intraocular pressure reduction,https://www.uptodate.com/contents/apraclonidine-drug-information?search=iopidine&source=search_result&selectedTitle=1%7E10&usage_type=default&display_rank=1
isopto carpine,Pilocarpine,Xerostomia,https://www.uptodate.com/contents/pilocarpine-systemic-drug-information?search=isopto+carpine&source=search_result&selectedTitle=1%7E33&usage_type=default&display_rank=1
jalyn,Dutasteride and tamsulosin,Benign prostatic hyperplasia,https://www.uptodate.com/contents/dutasteride-and-tamsulosin-drug-information?search=jalyn&source=search_result&selectedTitle=1%7E3&usage_type=default&display_rank=1
k-dur 10,Potassium chloride,"Normal daily requirements,Prevention of hypokalemia,Treatment of hypokalemia,Hypokalemia",https://www.uptodate.com/contents/potassium-chloride-drug-information?search=k-dur+10&source=search_result&selectedTitle=1%7E150&usage_type=default&display_rank=1
k-dur 20,Potassium chloride,"Normal daily requirements,Prevention of hypokalemia,Treatment of hypokalemia,Hypokalemia",https://www.uptodate.com/contents/potassium-chloride-drug-information?search=k-dur+20&source=search_result&selectedTitle=1%7E150&usage_type=default&display_rank=1
k-tab,Potassium chloride,"Normal daily requirements,Prevention of hypokalemia,Treatment of hypokalemia,Hypokalemia",https://www.uptodate.com/contents/potassium-chloride-drug-information?search=k-tab&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
kadian,Morphine,"Pain management,Severe pain",https://www.uptodate.com/contents/morphine-drug-information?search=kadian&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
kapvay,Clonidine,"Hypertension,Acute hypertension,Clozapine-induced sialorrhea,Nicotine withdrawal symptoms,Opioid withdrawal,Tourette syndrome,Vasomotor symptoms associated with menopause,Pain management,Attention-deficit/hyperactivity disorder",https://www.uptodate.com/contents/clonidine-drug-information?search=kapvay&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
kazano,Alogliptin and metformin,"Diabetes mellitus, type 2",https://www.uptodate.com/contents/alogliptin-and-metformin-drug-information?search=kazano&source=search_result&selectedTitle=1%7E3&usage_type=default&display_rank=1
keflex,Cephalexin,"Usual dosage range,Indication-specific dosing,Bone infections,Genitourinary tract infections,Otitis media,Respiratory tract infections,Skin and skin structure infections",https://www.uptodate.com/contents/cephalexin-drug-information?search=keflex&source=search_result&selectedTitle=1%7E92&usage_type=default&display_rank=1
khedezla,Desvenlafaxine,"Major depressive disorder,Discontinuation of therapy,Vasomotor symptoms associated with menopause,MAO inhibitor recommendations",https://www.uptodate.com/contents/desvenlafaxine-drug-information?search=khedezla&source=search_result&selectedTitle=1%7E17&usage_type=default&display_rank=1
kitabis pak,Tobramycin,"In underweight and nonobese patients, use of total body weight,Severe life-threatening infections,Brucellosis,Cholangitis,CNS shunt infection,Diverticulitis, complicated,Meningitis,Pelvic inflammatory disease,Plague,Pneumonia, hospital-acquired or ventilator-associated,Prophylaxis against endocarditis,Tularemia,Urinary tract infection, complicated",https://www.uptodate.com/contents/tobramycin-systemic-drug-information?search=kitabis+pak&source=search_result&selectedTitle=1%7E98&usage_type=default&display_rank=1
klaron,Sulfur and sulfacetamide,"Acne vulgaris, acne rosacea, seborrheic dermatitis,Acne rosacea, acne vulgaris, seborrheic dermatitis",https://www.uptodate.com/contents/sulfur-and-sulfacetamide-drug-information?search=klaron&source=search_result&selectedTitle=4%7E26&usage_type=default&display_rank=7
lanoxin,Digoxin,"Atrial fibrillation,Heart failure,Supraventricular tachycardia",https://www.uptodate.com/contents/digoxin-drug-information?search=lanoxin&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
lescol xl,Fluvastatin,"Heterozygous familial and nonfamilial hypercholesterolemia,Mixed dyslipidemia,Patients requiring ≥25% decrease in LDL-C,Patients requiring <25% decrease in LDL-C,Prevention of cardiovascular disease/reduce the risk of ASCVD,ACC/AHA Blood Cholesterol Guideline recommendations,NLA Dyslipidemia guideline recommendations,US Preventive Services Task Force Recommendations,,Dyslipidemias,Prevention of cardiovascular disease",https://www.uptodate.com/contents/fluvastatin-drug-information?search=lescol+xl&source=search_result&selectedTitle=1%7E31&usage_type=default&display_rank=1
levo-t,Levofloxacin,"Acute bacterial rhinosinusitis,Anthrax,Bite wounds,,Chronic bronchitis,Diabetic foot infections, moderate to severe,Diverticulitis, peritonitis,Epididymitis,Intra-abdominal infection, complicated, community-acquired,Neutropenia,Pelvic inflammatory disease,Plague,Pneumonia,Prostatitis,Skin and skin structure infections,Surgical,Surgical site infections,Traveler's diarrhea,Tuberculosis, drug-resistant tuberculosis, or intolerance to first-line agents,Urethritis, nongonococcal,Urinary tract infection",https://www.uptodate.com/contents/levofloxacin-systemic-drug-information?search=levo-t&source=search_result&selectedTitle=1%7E16&usage_type=default&display_rank=1
lexapro,Escitalopram,"Body dysmorphic disorder,Generalized anxiety disorder,Major depressive disorder,Obsessive-compulsive disorder,Panic disorder,Posttraumatic stress disorder,Premenstrual dysphoric disorder,Vasomotor symptoms associated with menopause,Discontinuation of therapy,Switching",https://www.uptodate.com/contents/escitalopram-drug-information?search=lexapro&source=search_result&selectedTitle=1%7E117&usage_type=default&display_rank=1
lialda,Mesalamine,"Crohn disease management after surgical resection,Crohn disease, mild to moderate,Distal ulcerative colitis or proctosigmoiditis, active mild to moderate,Distal ulcerative colitis,Ulcerative colitis,Ulcerative proctitis, active",https://www.uptodate.com/contents/mesalamine-mesalazine-drug-information?search=lialda&source=search_result&selectedTitle=1%7E60&usage_type=default&display_rank=1
librax,Clidinium and chlordiazepoxide,"Emotional and somatic factors in gastrointestinal disorders,Irritable bowel syndrome,Peptic ulcer",https://www.uptodate.com/contents/clidinium-and-chlordiazepoxide-drug-information?search=librax&source=search_result&selectedTitle=1%7E1&usage_type=default&display_rank=1
lidex,Fluocinonide,"Atopic dermatitis,Psoriasis,Other inflammatory and pruritic dermatologic conditions besides atopic dermatitis or psoriasis,Inflammatory and pruritic dermatologic conditions",https://www.uptodate.com/contents/fluocinonide-drug-information?search=lidex&source=search_result&selectedTitle=1%7E19&usage_type=default&display_rank=1
lidoderm,Lidocaine,"Antiarrhythmic,Anesthesia, local injectable,Interstitial cystitis",https://www.uptodate.com/contents/lidocaine-systemic-drug-information?search=lidoderm&source=search_result&selectedTitle=1%7E142&usage_type=default&display_rank=1
limbitrol,Amitriptyline and chlordiazepoxide,"Depression and anxiety,Discontinuation of therapy,MAO inhibitor recommendations,Depression",https://www.uptodate.com/contents/amitriptyline-and-chlordiazepoxide-drug-information?search=limbitrol&source=search_result&selectedTitle=1%7E3&usage_type=default&display_rank=1
limbitrol ds,Amitriptyline and chlordiazepoxide,"Depression and anxiety,Discontinuation of therapy,MAO inhibitor recommendations,Depression",https://www.uptodate.com/contents/amitriptyline-and-chlordiazepoxide-drug-information?search=limbitrol+ds&source=search_result&selectedTitle=7%7E150&usage_type=default&display_rank=7
lioresal,Baclofen,"Spasticity,Alcoholic liver disease, alcohol abstinence,Gastroesophageal reflux disease,Hiccups,Nystagmus,Trigeminal neuralgia",https://www.uptodate.com/contents/baclofen-drug-information?search=lioresal&source=search_result&selectedTitle=1%7E73&usage_type=default&display_rank=1
lipitor,Atorvastatin,"Primary prevention,Prevention of cardiovascular disease/reduce the risk of ASCVD,Cardiac risk reduction for non-cardiac surgery,Intensive lipid-lowering after an ACS event regardless of baseline LDL,Noncardioembolic stroke/TIA,Dosage adjustment for atorvastatin with concomitant medications,Dyslipidemias,Prevention of cardiovascular disease,",https://www.uptodate.com/contents/atorvastatin-drug-information?search=lipitor&source=search_result&selectedTitle=1%7E122&usage_type=default&display_rank=1
lipofen,Fenofibrate,"Hypertriglyceridemia,Hypercholesterolemia or mixed hyperlipidemia,Hypercholesterolemia or mixed dyslipidemia",https://www.uptodate.com/contents/fenofibrate-drug-information?search=lipofen&source=search_result&selectedTitle=1%7E42&usage_type=default&display_rank=1
lithobid,Lithium,"Bipolar disorder,Depression, augmentation of antidepressant",https://www.uptodate.com/contents/lithium-drug-information?search=lithobid&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
locoid,Hydrocortisone,"Anti-inflammatory or immunosuppressive,Multiple sclerosis, acute exacerbations,Adrenal insufficiency,Congenital adrenal hyperplasia,Stress dosing in patients known to be adrenally-suppressed,Septic shock,Thyroid storm,Allergic states,Dermatologic diseases,Edematous states,Endocrine disorders,GI diseases,Hematologic disorders,Neoplastic diseases,Nervous system,Ophthalmic diseases,Respiratory diseases,Rheumatic disorders,Miscellaneous",https://www.uptodate.com/contents/hydrocortisone-systemic-drug-information?search=locoid&source=search_result&selectedTitle=1%7E145&usage_type=default&display_rank=1
locoid (ointment),Hydrocortisone,"Anal and genital itching, external,Atopic dermatitis,Corticosteroid-responsive dermatosis,Hemorrhoids,Ulcerative colitis,Anal and genital itching,Dermatoses",https://www.uptodate.com/contents/hydrocortisone-topical-drug-information?search=locoid+%28ointment%29&source=search_result&selectedTitle=1%7E145&usage_type=default&display_rank=1
locoid (solution),Hydrocortisone,"Anal and genital itching, external,Atopic dermatitis,Corticosteroid-responsive dermatosis,Hemorrhoids,Ulcerative colitis,Anal and genital itching,Dermatoses",https://www.uptodate.com/contents/hydrocortisone-topical-drug-information?search=locoid+%28solution%29&source=search_result&selectedTitle=1%7E150&usage_type=default&display_rank=1
locoid lipocream,Hydrocortisone,"Anti-inflammatory or immunosuppressive,Multiple sclerosis, acute exacerbations,Adrenal insufficiency,Congenital adrenal hyperplasia,Stress dosing in patients known to be adrenally-suppressed,Septic shock,Thyroid storm,Allergic states,Dermatologic diseases,Edematous states,Endocrine disorders,GI diseases,Hematologic disorders,Neoplastic diseases,Nervous system,Ophthalmic diseases,Respiratory diseases,Rheumatic disorders,Miscellaneous",https://www.uptodate.com/contents/hydrocortisone-systemic-drug-information?search=locoid+lipocream&source=search_result&selectedTitle=1%7E145&usage_type=default&display_rank=1
lodosyn,Carbidopa,Parkinsonism,https://www.uptodate.com/contents/carbidopa-drug-information?search=lodosyn&source=search_result&selectedTitle=1%7E42&usage_type=default&display_rank=1
loestrin 24 fe fe,Ethinyl estradiol and norethindrone,"Acne,Contraception,Postmenopausal indications,Osteoporosis prevention,Vasomotor symptoms associated with menopause,Acne vulgaris",https://www.uptodate.com/contents/ethinyl-estradiol-and-norethindrone-drug-information?search=loestrin+24+fe+fe&source=search_result&selectedTitle=3%7E150&usage_type=default&display_rank=3
lomotil,Diphenoxylate and atropine,"Diarrhea, adjunct therapy",https://www.uptodate.com/contents/diphenoxylate-and-atropine-drug-information?search=lomotil&source=search_result&selectedTitle=1%7E41&usage_type=default&display_rank=1
lopressor hct,Metoprolol and hydrochlorothiazide,"Hypertension,tartrate,succinate",https://www.uptodate.com/contents/metoprolol-and-hydrochlorothiazide-drug-information?search=lopressor+hct&source=search_result&selectedTitle=1%7E8&usage_type=default&display_rank=1
loprox,Ciclopirox,"Tinea pedis, tinea corporis,Tinea cruris, cutaneous candidiasis, and tinea versicolor,Onychomycosis of the fingernails and toenails,Seborrheic dermatitis, scalp,Dermatologic conditions",https://www.uptodate.com/contents/ciclopirox-drug-information?search=loprox&source=search_result&selectedTitle=1%7E11&usage_type=default&display_rank=1
loseasonique,Ethinyl estradiol and levonorgestrel,"Contraception,With a Sunday start, an additional method of contraception should be used until after the first 7 days of consecutive administration.,Emergency Contraception,Emergency contraception",https://www.uptodate.com/contents/ethinyl-estradiol-and-levonorgestrel-drug-information?search=loseasonique&source=search_result&selectedTitle=1%7E16&usage_type=default&display_rank=1
lotensin hct,Benazepril and hydrochlorothiazide,Hypertension,https://www.uptodate.com/contents/benazepril-and-hydrochlorothiazide-drug-information?search=lotensin+hct&source=search_result&selectedTitle=1%7E5&usage_type=default&display_rank=1
lotrimin af,Clotrimazole,"Cutaneous candidiasis,Tinea corporis, tinea cruris, tinea pedis,Tinea versicolor,Vulvovaginal candidiasis,Topical cream and solution,Topical ointment,Vaginal cream",https://www.uptodate.com/contents/clotrimazole-topical-drug-information?search=lotrimin+af&source=search_result&selectedTitle=1%7E150&usage_type=default&display_rank=1
lotrisone,Betamethasone and clotrimazole,"Tinea corporis, tinea cruris,Tinea pedis,Fungal infections",https://www.uptodate.com/contents/betamethasone-and-clotrimazole-drug-information?search=lotrisone&source=search_result&selectedTitle=1%7E7&usage_type=default&display_rank=1
lotronex,Alosetron,Irritable bowel syndrome,https://www.uptodate.com/contents/alosetron-drug-information?search=lotronex&source=search_result&selectedTitle=1%7E10&usage_type=default&display_rank=1
lovaza,Omega-3-acid ethyl esters,"Hypertriglyceridemia,IgA nephropathy,Dietary supplement",https://www.uptodate.com/contents/omega-3-acid-ethyl-esters-fish-oil-drug-information?search=lovaza&source=search_result&selectedTitle=1%7E60&usage_type=default&display_rank=1
lovenox,Enoxaparin,"DVT prophylaxis,DVT treatment,Percutaneous coronary intervention,ST-elevation MI,Mechanical heart valve,Unstable angina or non-ST-elevation MI,Conversion,Venous thromboembolism, extended treatment in cancer patients,Acute coronary syndromes",https://www.uptodate.com/contents/enoxaparin-drug-information?search=lovenox&source=search_result&selectedTitle=1%7E109&usage_type=default&display_rank=1
lozol,Indapamide,"Calcium nephrolithiasis,Edema,Hypertension,Heart failure",https://www.uptodate.com/contents/indapamide-drug-information?search=lozol&source=search_result&selectedTitle=1%7E21&usage_type=default&display_rank=1
luvox,Fluvoxamine,"Obsessive-compulsive disorder,Bulimia nervosa,Major depressive disorder,Panic disorder,Post-traumatic stress disorder,Social anxiety disorder,Discontinuation of therapy,MAO inhibitor recommendations",https://www.uptodate.com/contents/fluvoxamine-drug-information?search=luvox&source=search_result&selectedTitle=1%7E90&usage_type=default&display_rank=1
lysteda,Tranexamic acid,"Cyclic heavy menstrual bleeding,Elective cesarean section, blood loss reduction,Hereditary angioedema,Hip fracture surgery, blood conservation,Intracranial hemorrhage associated with thrombolytics,Orthognathic surgery, blood loss reduction,Perioperative blood loss reduction in,Post-operative bleeding associated with cervical conization,Postpartum hemorrhage,Prevention of dental procedure bleeding in patients on oral anticoagulant therapy,Prevention of perioperative bleeding associated with cardiac surgery,Prevention of perioperative bleeding associated with spinal surgery,Tooth extraction in patients with hemophilia,Total hip replacement surgery, blood conservation,Transurethral prostatectomy, blood loss reduction,Trauma-associated hemorrhage,Traumatic hyphema",https://www.uptodate.com/contents/tranexamic-acid-drug-information?search=lysteda&source=search_result&selectedTitle=1%7E108&usage_type=default&display_rank=1
macrobid,Nitrofurantoin,"Cystitis, acute uncomplicated, treatment,UTI, prophylaxis,Cystitis, acute uncomplicated",https://www.uptodate.com/contents/nitrofurantoin-drug-information?search=macrobid&source=search_result&selectedTitle=1%7E67&usage_type=default&display_rank=1
macrodantin,Nitrofurantoin,"Cystitis, acute uncomplicated, treatment,UTI, prophylaxis,Cystitis, acute uncomplicated",https://www.uptodate.com/contents/nitrofurantoin-drug-information?search=macrodantin&source=search_result&selectedTitle=1%7E67&usage_type=default&display_rank=1
malarone,Atovaquone and proguanil,"Malaria,Malaria due to",https://www.uptodate.com/contents/atovaquone-and-proguanil-drug-information?search=malarone&source=search_result&selectedTitle=1%7E16&usage_type=default&display_rank=1
marinol,Dronabinol,"Anorexia in patients with AIDS,Chemotherapy-induced nausea and vomiting,Chemotherapy-induced nausea and vomiting, refractory,Obstructive sleep apnea, moderate to severe",https://www.uptodate.com/contents/dronabinol-drug-information?search=marinol&source=search_result&selectedTitle=1%7E28&usage_type=default&display_rank=1
maxitrol,"Neomycin, polymyxin B, and dexamethasone",Inflammatory ocular conditions,https://www.uptodate.com/contents/neomycin-polymyxin-b-and-dexamethasone-drug-information?search=maxitrol&source=search_result&selectedTitle=1%7E6&usage_type=default&display_rank=1
maxzide,Hydrochlorothiazide and triamterene,"Hypertension, edema",https://www.uptodate.com/contents/hydrochlorothiazide-and-triamterene-drug-information?search=maxzide&source=search_result&selectedTitle=1%7E4&usage_type=default&display_rank=1
maxzide-25,Hydrochlorothiazide and triamterene,"Hypertension, edema",https://www.uptodate.com/contents/hydrochlorothiazide-and-triamterene-drug-information?search=maxzide-25&source=search_result&selectedTitle=1%7E4&usage_type=default&display_rank=1
medrol,Methylprednisolone,"Acute respiratory distress syndrome,Allergic conditions,Anti-inflammatory or immunosuppressive,Arthritis,Asthma, exacerbations,Asthma, long-term,Multiple sclerosis, acute exacerbation,Alcoholic hepatitis,Bronchiolitis obliterans syndrome, prevention,Cadaveric organ recovery,Cardiac transplant,COPD exacerbation,Dermatomyositis/polymyositis,Gout, acute,Lupus nephritis,Nausea and vomiting of pregnancy, severe/refractory,,Prostate cancer, metastatic, castration-resistant,Spinal cord injury, acute,Only sodium succinate salt may be given IV.,Oral, IM, and IV administration,Intra-articular or soft tissue administration,Intralesional administration",https://www.uptodate.com/contents/methylprednisolone-drug-information?search=medrol&source=search_result&selectedTitle=1%7E148&usage_type=default&display_rank=1
mepron,Atovaquone,",PCP, mild to moderate, treatment,Babesiosis",https://www.uptodate.com/contents/atovaquone-drug-information?search=mepron&source=search_result&selectedTitle=1%7E47&usage_type=default&display_rank=1
mesnex,Mesna,"Prevention of ifosfamide-induced hemorrhagic cystitis,Prevention of cyclophosphamide-induced hemorrhagic cystitis",https://www.uptodate.com/contents/mesna-drug-information?search=mesnex&source=search_result&selectedTitle=1%7E59&usage_type=default&display_rank=1
mestinon,Pyridostigmine,"Myasthenia gravis,Reversal of nondepolarizing muscle relaxants,Soman nerve gas exposure, pretreatment,Disopyramide-induced anticholingeric adverse effects,Military use",https://www.uptodate.com/contents/pyridostigmine-drug-information?search=mestinon&source=search_result&selectedTitle=1%7E38&usage_type=default&display_rank=1
mestinon timespan,Pyridostigmine,"Myasthenia gravis,Reversal of nondepolarizing muscle relaxants,Soman nerve gas exposure, pretreatment,Disopyramide-induced anticholingeric adverse effects,Military use",https://www.uptodate.com/contents/pyridostigmine-drug-information?search=mestinon+timespan&source=search_result&selectedTitle=1%7E42&usage_type=default&display_rank=1
metadate cd,Methylphenidate,"ADHD,Narcolepsy,Depression in medically-ill older adults or adult patients with terminal illness and/or receiving palliative care,Fatigue, cancer-related,Attention-deficit/hyperactivity disorder",https://www.uptodate.com/contents/methylphenidate-drug-information?search=metadate+cd&source=search_result&selectedTitle=1%7E117&usage_type=default&display_rank=1
methylin,Methylphenidate,"ADHD,Narcolepsy,Depression in medically-ill older adults or adult patients with terminal illness and/or receiving palliative care,Fatigue, cancer-related,Attention-deficit/hyperactivity disorder",https://www.uptodate.com/contents/methylphenidate-drug-information?search=methylin&source=search_result&selectedTitle=1%7E117&usage_type=default&display_rank=1
metrocream,Metronidazole,"Amebiasis,Amebic liver abscess,Bacterial vaginosis or vaginitis due to,Intra-abdominal infection,Pelvic inflammatory disease,Trichomoniasis,Trichomoniasis in HIV-infected women,Trichomoniasis, persistent or recurrent,Balantidiasis,Bite wounds,Clostridium difficile,Crohn disease, management after surgical resection,Crohn disease, mild to moderate, treatment,,Giardiasis,Periodontitis,Pouchitis,Prophylaxis against sexually-transmitted diseases following sexual assault,Skin and soft tissue necrotizing infections,Surgical prophylaxis,Surgical site infections,Tetanus,Urethritis, nongonococcal,Anaerobic bacterial infections,Bacterial vaginosis",https://www.uptodate.com/contents/metronidazole-systemic-drug-information?search=metrocream&source=search_result&selectedTitle=1%7E145&usage_type=default&display_rank=1
metrogel,Metronidazole,"Amebiasis,Amebic liver abscess,Bacterial vaginosis or vaginitis due to,Intra-abdominal infection,Pelvic inflammatory disease,Trichomoniasis,Trichomoniasis in HIV-infected women,Trichomoniasis, persistent or recurrent,Balantidiasis,Bite wounds,Clostridium difficile,Crohn disease, management after surgical resection,Crohn disease, mild to moderate, treatment,,Giardiasis,Periodontitis,Pouchitis,Prophylaxis against sexually-transmitted diseases following sexual assault,Skin and soft tissue necrotizing infections,Surgical prophylaxis,Surgical site infections,Tetanus,Urethritis, nongonococcal,Anaerobic bacterial infections,Bacterial vaginosis",https://www.uptodate.com/contents/metronidazole-systemic-drug-information?search=metrogel&source=search_result&selectedTitle=1%7E145&usage_type=default&display_rank=1
